"","bat1","bat2","dyad","known.kinship","wang_estimate","kinship","pop1","pop2","kinship2"
"1","cc","c","c_cc",NA,0.0519,0.0519,"tole","tole",0.0519
"2","ccc","c","c_ccc",NA,0.4087,0.4087,"tole","tole",0.4087
"3","ccs","c","c_ccs",NA,0.2382,0.2382,"tole","tole",0.2382
"4","cd","c","c_cd",NA,0.1702,0.1702,"tole","tole",0.1702
"5","cs","c","c_cs",NA,-0.0118,-0.0118,"tole","tole",0
"6","csc","c","c_csc",NA,0.4258,0.4258,"tole","tole",0.4258
"7","d","c","c_d",NA,0.1572,0.1572,"tole","tole",0.1572
"8","dcd","c","c_dcd",NA,0.2001,0.2001,"tole","tole",0.2001
"9","dd","c","c_dd",NA,0.261,0.261,"tole","tole",0.261
"10","ddld","c","c_ddld",NA,-0.0834,-0.0834,"tole","tole",0
"11","ivy","c","c_ivy",0,0.1983,0,"bci","tole",0
"12","dld","c","c_dld",NA,0.0923,0.0923,"tole","tole",0.0923
"13","una","c","c_una",0,-0.1462,0,"bci","tole",0
"14","tes","c","c_tes",0,-0.078,0,"bci","tole",0
"15","son.of.ola","c","c_son.of.ola",0,-0.0931,0,"bci","tole",0
"16","dr","c","c_dr",NA,0.1014,0.1014,"tole","tole",0.1014
"17","ds","c","c_ds",NA,0.0928,0.0928,"tole","tole",0.0928
"18","female10","c","c_female10",NA,0.3142,0.3142,"tole","tole",0.3142
"19","female12","c","c_female12",NA,0.2754,0.2754,"tole","tole",0.2754
"20","female13","c","c_female13",NA,0.1139,0.1139,"tole","tole",0.1139
"21","female14","c","c_female14",NA,0.2783,0.2783,"tole","tole",0.2783
"22","female15","c","c_female15",NA,0.1156,0.1156,"tole","tole",0.1156
"23","female16","c","c_female16",NA,0.2294,0.2294,"tole","tole",0.2294
"24","female17","c","c_female17",NA,-0.0896,-0.0896,"tole","tole",0
"25","female18","c","c_female18",NA,-0.0753,-0.0753,"tole","tole",0
"26","female19","c","c_female19",NA,0.1837,0.1837,"tole","tole",0.1837
"27","female5","c","c_female5",NA,0.1339,0.1339,"tole","tole",0.1339
"28","female6","c","c_female6",NA,0.3973,0.3973,"tole","tole",0.3973
"29","female7","c","c_female7",NA,0.1986,0.1986,"tole","tole",0.1986
"30","female8","c","c_female8",NA,0.2609,0.2609,"tole","tole",0.2609
"31","female9","c","c_female9",NA,0.1478,0.1478,"tole","tole",0.1478
"32","hilga","c","c_hilga",NA,-0.0492,-0.0492,"tole","tole",0
"33","ld","c","c_ld",NA,-0.1624,-0.1624,"tole","tole",0
"34","ldc","c","c_ldc",NA,0.1429,0.1429,"tole","tole",0.1429
"35","ldd","c","c_ldd",NA,-0.0306,-0.0306,"tole","tole",0
"36","lds","c","c_lds",NA,0.0161,0.0161,"tole","tole",0.0161
"37","lsd","c","c_lsd",NA,0.1189,0.1189,"tole","tole",0.1189
"38","cat","c","c_cat",0,-0.0567,0,"bci","tole",0
"39","male16","c","c_male16",NA,-0.0799,-0.0799,"tole","tole",0
"40","male18","c","c_male18",NA,0.3466,0.3466,"tole","tole",0.3466
"41","male19","c","c_male19",NA,0.1108,0.1108,"tole","tole",0.1108
"42","male20","c","c_male20",NA,0.3201,0.3201,"tole","tole",0.3201
"43","male21","c","c_male21",NA,0.0395,0.0395,"tole","tole",0.0395
"44","male25","c","c_male25",NA,0.1119,0.1119,"tole","tole",0.1119
"45","male26","c","c_male26",NA,0.2145,0.2145,"tole","tole",0.2145
"46","male27","c","c_male27",NA,0.2915,0.2915,"tole","tole",0.2915
"47","male30","c","c_male30",NA,0.0102,0.0102,"tole","tole",0.0102
"48","male31","c","c_male31",NA,0.2044,0.2044,"tole","tole",0.2044
"49","male32","c","c_male32",NA,0.0862,0.0862,"tole","tole",0.0862
"50","male33","c","c_male33",NA,0.1839,0.1839,"tole","tole",0.1839
"51","male35","c","c_male35",NA,0.2884,0.2884,"tole","tole",0.2884
"52","male36","c","c_male36",NA,0.1729,0.1729,"tole","tole",0.1729
"53","male37","c","c_male37",NA,0.1801,0.1801,"tole","tole",0.1801
"54","male38","c","c_male38",NA,0.0854,0.0854,"tole","tole",0.0854
"55","male39","c","c_male39",NA,0.0972,0.0972,"tole","tole",0.0972
"56","pup0","c","c_pup0",NA,0.2671,0.2671,"tole","tole",0.2671
"57","r","c","c_r",NA,-0.1041,-0.1041,"tole","tole",0
"58","rc","c","c_rc",NA,0.2335,0.2335,"tole","tole",0.2335
"59","s","c","c_s",NA,0.0124,0.0124,"tole","tole",0.0124
"60","sc","c","c_sc",NA,0.2568,0.2568,"tole","tole",0.2568
"61","scs","c","c_scs",NA,0.2765,0.2765,"tole","tole",0.2765
"62","sd","c","c_sd",NA,0.0683,0.0683,"tole","tole",0.0683
"63","six","c","c_six",0,-0.0686,0,"bci","tole",0
"64","sld","c","c_sld",NA,0.4836,0.4836,"tole","tole",0.4836
"65","dos","c","c_dos",0,-0.0442,0,"bci","tole",0
"66","ola","c","c_ola",0,-0.103,0,"bci","tole",0
